BroadcastLogID,LogServiceID,LogDate,SequenceNO,AudienceTargetAgeID,ProgramClassID,Duration,EndTime,LogEntryDate,ProgramTitle,StartTime,AdType
1208701652,3248,1/1/18,120,2,3,00:15.0,,1/1/18,J.M. Smucker (Canada) Inc,56:26.0,Food & Beverage Products
1224409801,3205,1/1/18,460,4,3,00:15.0,,1/1/18,Smuckers,56:28.0,Food & Beverage Products
1132517457,3223,1/1/18,253,2,3,00:15.0,56:47.0,1/1/18,PepsiCo Canada ULC,56:32.0,Food & Beverage Products
1228234765,3236,1/1/18,299,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1206570372,3237,1/1/18,443,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1207025616,3239,1/1/18,491,1,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1207335227,3241,1/1/18,448,2,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1208702008,3248,1/1/18,476,2,3,00:15.0,,1/1/18,Little Caesars,56:39.0,Restaurants
1070040320,3157,1/1/18,1004,4,3,00:15.0,57:03.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,56:48.0,Food & Beverage Products
1085288586,3221,1/1/18,364,2,3,00:30.0,57:20.0,1/1/18,3-A&W FOOD SERVICES OF CDA-Hamburger Fast Food 3rd,56:50.0,Fast Food
1132517335,3223,1/1/18,131,2,3,00:30.0,57:24.0,1/1/18,Red Lobster Management LLC.,56:54.0,Restaurants
1209152787,3250,1/1/18,583,3,3,00:30.0,,1/1/18,A & W Food Services of Canada Limited,56:56.0,Food & Beverage Products
1164492034,3206,1/1/18,404,4,3,00:15.0,57:14.0,1/1/18,CO/COKE ZERO SUG,56:59.0,Food & Beverage Products
1206570497,3237,1/1/18,568,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1207025746,3239,1/1/18,621,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1207335354,3241,1/1/18,575,2,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1208101465,3245,1/1/18,609,2,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1208702138,3248,1/1/18,606,1,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1209405487,3252,1/1/18,603,3,3,00:15.0,,1/1/18,Mars Canada Inc,56:59.0,Food & Beverage Products
1069862102,3193,1/1/18,244,4,3,00:30.0,57:35.0,1/1/18,14-DAIRY QUEEN CANADA INC-Chicken Fast Food 3rd,57:05.0,Fast Food
1209152992,3250,1/1/18,788,3,3,00:15.0,,1/1/18,Mars Canada Inc,57:05.0,Food & Beverage Products
1241713505,3195,1/1/18,105,4,3,00:15.0,,1/1/18,DONGSUHCOFFEE,57:25.0,Food & Beverage Products
1069862324,3193,1/1/18,466,4,3,00:15.0,57:49.0,1/1/18,14-WENDY'S RESTAURANT OF CDA-Fast Food 3rd,57:34.0,Fast food
1209152716,3250,1/1/18,512,3,3,00:30.0,,1/1/18,Dairy Queen Canada Inc.,57:34.0,Fast Food
1086522498,3197,1/1/18,378,4,3,00:15.0,57:50.0,1/1/18,CO/COKE ZERO SUG,57:35.0,Food & Beverage Products
1069862104,3193,1/1/18,246,4,3,00:15.0,58:05.0,1/1/18,14-CAMPBELL SOUP CO LTD-Soup 3rd,57:50.0,Food & Beverage Products
1208101335,3245,1/1/18,479,2,3,00:30.0,,1/1/18,Ricola Canada,57:54.0,Food & Beverage Products
1132517883,3223,1/1/18,679,2,3,00:30.0,58:34.0,1/1/18,Red Lobster Management LLC.,58:04.0,Restaurants
1132518197,3223,1/1/18,993,2,3,00:15.0,58:32.0,1/1/18,PepsiCo Canada ULC,58:17.0,Food & Beverage Products
1241713440,3195,1/1/18,40,4,3,00:29.0,,1/1/18,WOORISUPERMARKET,58:21.0,Retail Outlets
1069862106,3193,1/1/18,248,4,3,00:15.0,58:51.0,1/1/18,2-JM SMUCKER (CANADA) INC-Hot - Beverages 3rd,58:36.0,Food & Beverage Products
1209152661,3250,1/1/18,457,3,3,00:15.0,,1/1/18,Pepsico,59:18.0,Food & Beverage Products
1221428129,3234,1/1/18,410,2,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221451392,3240,1/1/18,440,1,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221474967,3243,1/1/18,413,2,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221497456,3246,1/1/18,420,1,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1221520532,3251,1/1/18,432,3,3,00:15.0,,1/1/18,Coca-Cola,59:27.0,Food & Beverage Products
1237176152,3228,1/1/18,720,4,3,00:15.0,00:03.0,1/1/18,GL/TUMS BURGER,59:48.0,Food & Beverage Products
1070040314,3157,1/1/18,998,3,3,00:30.0,39:47.0,1/1/18,3-LOBLAW COMPANIES LIMITED-Supermarkets 3rd,39:17.0,Retail Outlets
